product_desc,recomendaciones_total,customers_last_month,nuevo_ratio,variacion_del_original
Brahma Dorada-1 Lts-Bottle-RET,200,195.0,1.0256410256410255,150
Andes Origen Roja-1/3 Lts-Bottle-RET,123,164.0,0.75,95
Quilmes Ipa-1/2 Lts-Cans,122,163.0,0.7484662576687117,78
1890-1 Lts-Bottle-RET,121,162.0,0.7469135802469136,73
Quilmes Doble-1/2 Lts-Cans,59,79.0,0.7468354430379747,55
Patagonia Bohemian Pilsener-3/4 Lts-Bottle-OW,73,98.0,0.7448979591836735,49
Quilmes Stout-1/2 Lts-Cans,73,98.0,0.7448979591836735,44
Quilmes Stout-1 Lts-Bottle-RET,75,100.0,0.75,43
Corona-1/3 Lts-Bottle-OW,135,181.0,0.7458563535911602,28
Quilmes Red Lager-1/2 Lts-Cans,30,41.0,0.7317073170731707,24
Patagonia Hoppy Lager-3/4 Lts-Bottle-OW,26,35.0,0.7428571428571429,18
Stella artois Noire-1/3 Lts-Bottle-OW,38,48.0,0.7916666666666666,16
Stella Artois Blanche-1 Lts-Bottle-RET,47,21.0,2.238095238095238,16
Stella Artois Blanche-1/2 Lts-Cans,354,170.0,2.0823529411764707,16
Stella Artois Blanche-20 Lts-Barrel,20,,,16
Stella artois 0.0%-1/2 Lts-Cans,18,,,16
Stella artois 0.0%-1/3 Lts-Bottle-OW,18,,,16
Stella artois Noire-1 Lts-Bottle-RET,28,16.0,1.75,16
Goose Island Hazy-1/2 Lts-Cans,24,,,16
Stella artois Noire-1/2 Lts-Cans,44,24.0,1.8333333333333333,16
Goose Island-1/2 Lts-Cans,24,6.0,4.0,16
Stella artois Noire-1/3 Lts-Cans,17,,,16
Stella artois Noire-1/4 Lts-Cans,20,,,16
Stella artois-1 Lts-Bottle-RET,181,178.0,1.0168539325842696,16
Stella artois-1/2 Lts-Cans,224,223.0,1.0044843049327354,16
Stella artois-1/3 Lts-Bottle-OW,19,,,16
Stella artois-1/3 Lts-Cans,20,,,16
Stella artois-1/4 Lts-Cans,22,,,16
Stella artois-20 Lts-Barrel,19,,,16
Stella artois-3/4 Lts-Bottle-OW,56,57.0,0.9824561403508771,16
Quilmes Bock-1/2 Lts-Cans,21,28.0,0.75,15
Patagonia Weisse-1/2 Lts-Cans,30,41.0,0.7317073170731707,11
Temple Honey-1/2 Lts-Cans,15,20.0,0.75,10
Budweiser-1/3 Lts-Bottle-OW,16,22.0,0.7272727272727273,10
Patagonia Vera Ipa-3/4 Lts-Bottle-OW,33,45.0,0.7333333333333333,8
Patagonia 24.7-1/2 Lts-Cans,54,72.0,0.75,8
Patagonia Amber Lager-1/3 Lts-Bottle-OW,11,15.0,0.7333333333333333,8
Quilmes Bock-1 Lts-Bottle-RET,10,14.0,0.7142857142857143,5
Corona-1/4 Lts-Cans,21,29.0,0.7241379310344828,5
Quilmes Clasica-1/3 Lts-Bottle-RET,107,143.0,0.7482517482517482,5
Andes Origen IPA-1/3 Lts-Bottle-RET,57,77.0,0.7402597402597403,5
1890-1/2 Lts-Cans,56,75.0,0.7466666666666667,4
Quilmes Clasica-1/2 Lts-Cans,243,325.0,0.7476923076923077,3
Temple Cosmica-1/2 Lts-Cans,6,8.0,0.75,2
Andes Origen Rubia-1/2 Lts-Cans,124,166.0,0.7469879518072289,2
Temple Scottish-1/2 Lts-Cans,14,19.0,0.7368421052631579,2
Quilmes Bajo Cero-1 Lts-Bottle-RET,153,205.0,0.7463414634146341,2
Budweiser-1/3 Lts-Bottle-RET,94,126.0,0.746031746031746,1
Patagonia Travesia-20000 Lts-Barrel,1,,,0
Patagonia Travesia-1/2 Lts-Cans,6,,,0
Patagonia Vera Ipa-1/2 Lts-Cans,36,19.0,1.894736842105263,0
Patagonia Solcitra-20 Lts-Barrel,2,,,0
Temple Cosmica-20 Lts-Barrel,1,,,0
Temple Golden-1/2 Lts-Cans,5,,,0
Patagonia Weisse-3/4 Lts-Bottle-OW,13,,,0
Patagonia abrazo oso-1/2 Lts-Cans,5,,,0
Quilmes 0.0-1/2 Lts-Cans,46,60.0,0.7666666666666667,0
Quilmes Clasica-1 Lts-Bottle-RET,256,298.0,0.8590604026845637,0
Temple Scottish-30 Lts-Barrel,2,,,0
Quilmes Clasica-1/3 Lts-Cans,15,,,0
Patagonia Old Ale-20 Lts-Barrel,1,,,0
Quilmes Clasica-20 Lts-Barrel,3,,,0
Quilmes Clasica-50 Lts-Barrel,2,,,0
Quilmes Ipa-1 Lts-Bottle-OW,33,45.0,0.7333333333333333,0
Patagonia Solcitra-1/2 Lts-Cans,2,,,0
Patagonia Bohemian Pilsener-1/2 Lts-Cans,30,29.0,1.0344827586206897,0
Patagonia Kune-1/2 Lts-Cans,7,,,0
Andes Origen Roja-20 Lts-Barrel,2,,,0
Brahma-1/3 Lts-Bottle-OW,2,,,0
Brahma-1/2 Lts-Cans,478,263.0,1.817490494296578,0
Brahma-1.2 Lts-Bottle-RET,1,,,0
Brahma-1 Lts-Bottle-RET,318,354.0,0.8983050847457628,0
Brahma Dorada-3/4 Lts-Bottle-OW,142,112.0,1.2678571428571428,0
Andes-1/2 Lts-Cans,3,,,0
Andes-1 Lts-Bottle-RET,1,,,0
Andes Origen Vendimia-1/2 Lts-Cans,8,,,0
Andes Origen Rubia-1 Lts-Bottle-RET,53,55.0,0.9636363636363636,0
Andes Origen Roja-1/4 Lts-Cans,13,,,0
Brahma-1/3 Lts-Cans,1,,,0
Andes Origen Roja-1/2 Lts-Cans,153,110.0,1.3909090909090909,0
Andes Origen Roja-1 Lts-Bottle-RET,25,32.0,0.78125,0
Andes Origen Negra-1/2 Lts-Cans,30,35.0,0.8571428571428571,0
Andes Origen Negra-1 Lts-Bottle-RET,11,12.0,0.9166666666666666,0
Andes Origen IPA-1/2 Lts-Cans,113,94.0,1.202127659574468,0
Andes Origen IPA Roja-1/2 Lts-Cans,27,27.0,1.0,0
Andes Origen Fresquita-1 Lts-Bottle-RET,38,37.0,1.027027027027027,0
Andes Origen Criolla-1/2 Lts-Cans,5,,,0
27 Eazy-1/2 Lts-Cans,19,,,0
Patagonia Indira-1/2 Lts-Cans,3,,,0
Brahma-1/3 Lts-Bottle-RET,154,168.0,0.9166666666666666,0
Brahma-1/4 Lts-Cans,3,,,0
Patagonia 24.7-1/3 Lts-Bottle-OW,4,,,0
Patagonia Hoppy Lager-20 Lts-Barrel,2,,,0
Patagonia Hoppy Lager-1/4 Lts-Cans,6,7.0,0.8571428571428571,0
Patagonia Bohemian Pilsener-20 Lts-Barrel,3,,,0
Patagonia Bohemian Pilsener-1 Lts-Bottle-RET,23,15.0,1.5333333333333334,0
Patagonia Amber Lager-3/4 Lts-Bottle-OW,43,51.0,0.8431372549019608,0
Patagonia Amber Lager-20 Lts-Barrel,3,,,0
Patagonia Amber Lager-1 Lts-Bottle-RET,37,30.0,1.2333333333333334,0
Patagonia 24.7-30 Lts-Barrel,1,,,0
Patagonia 24.7-3/4 Lts-Bottle-OW,44,,,0
Budweiser-1 Lts-Bottle-RET,138,153.0,0.9019607843137255,0
Patagonia 24.7-20 Lts-Barrel,1,,,0
Michelob Ultra-1/3 Lts-Bottle-OW,6,,,0
Michelob Ultra-1/2 Lts-Cans,83,62.0,1.3387096774193548,0
Corona-3/4 Lts-Bottle-OW,113,116.0,0.9741379310344828,0
Corona-1/3 Lts-Cans,3,,,0
Budweiser-3/4 Lts-Bottle-OW,51,36.0,1.4166666666666667,0
Budweiser-2/3 Lts-Cans,8,,,0
Budweiser-1/2 Lts-Cans,189,200.0,0.945,0
Temple Wolf-1/2 Lts-Cans,11,15.0,0.7333333333333333,0
Andes Origen IPA-1 Lts-Bottle-RET,32,16.0,2.0,-10
Patagonia Amber Lager-1/2 Lts-Cans,28,14.0,2.0,-17
Quilmes Stout-1/3 Lts-Bottle-RET,10,5.0,2.0,-18
Corona-1/2 Lts-Cans,290,145.0,2.0,-65
Andes Origen Fresquita-1/2 Lts-Cans,286,143.0,2.0,-94
Brahma Dorada-1/2 Lts-Cans,304,152.0,2.0,-179
